"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"28","WECm9u","jvBUeO","GCST012879","GCST90277247","Inverse variance weighted (multiplicative random effects)",14,0.156152036514781,0.0633434650266832,0.0136950510929781,0.0319988450624821,0.28030522796708,1.16900392086162,1.0325163128126,1.32353373020062
"29","WECm9u","jvBUeO","GCST012879","GCST90277247","Inverse variance weighted",14,0.156152036514781,0.0633434650266832,0.0136950510929781,0.0319988450624821,0.28030522796708,1.16900392086162,1.0325163128126,1.32353373020062
"30","WECm9u","jvBUeO","GCST012879","GCST90277247","Inverse variance weighted (fixed effects)",14,0.156152036514781,0.0486826033006859,0.00133869331535603,0.0607341340454369,0.251569938984126,1.16900392086162,1.06261636311479,1.28604284144853
"31","q5gP3G","jvBUeO","GCST012879","GCST90277248","Inverse variance weighted (multiplicative random effects)",18,0.0199067405401849,0.0421728297808618,0.636907072985017,-0.0627520058303043,0.102565486910674,1.02010620103726,0.939176355071701,1.10800985967669
"32","q5gP3G","jvBUeO","GCST012879","GCST90277248","Inverse variance weighted",18,0.0199067405401849,0.0421728297808618,0.636907072985017,-0.0627520058303043,0.102565486910674,1.02010620103726,0.939176355071701,1.10800985967669
"33","q5gP3G","jvBUeO","GCST012879","GCST90277248","Inverse variance weighted (fixed effects)",18,0.0199067405401849,0.0386961211912748,0.606946061947002,-0.0559376569947137,0.0957511380750834,1.02010620103726,0.945598085479272,1.10048516105786
"34","nbQHIF","eTUAa0","GCST012879","GCST90277249","Inverse variance weighted (multiplicative random effects)",20,0.0936890732247092,0.0457201552135574,0.0404439920012582,0.00407756900613655,0.183300577443282,1.09821822737429,1.00408589360149,1.20117540005577
"35","nbQHIF","eTUAa0","GCST012879","GCST90277249","Inverse variance weighted",20,0.0936890732247092,0.0457201552135574,0.0404439920012582,0.00407756900613655,0.183300577443282,1.09821822737429,1.00408589360149,1.20117540005577
"36","nbQHIF","eTUAa0","GCST012879","GCST90277249","Inverse variance weighted (fixed effects)",20,0.0936890732247092,0.0407893260780114,0.0216243768582873,0.0137419941118068,0.173636152337611,1.09821822737429,1.01383684931474,1.1896226456479
"37","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted (multiplicative random effects)",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"38","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"39","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted (fixed effects)",19,0.0971788117356926,0.0245043097279029,7.31549355625039e-05,0.0491503646690029,0.145207258802382,1.1020574168032,1.05037827864854,1.15627919447612
"40","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Inverse variance weighted (multiplicative random effects)",16,-0.0704786869284592,0.0734565167136437,0.337326393565556,-0.214453459687201,0.0734960858302824,0.931947601980048,0.806982368069785,1.07626432398242
"41","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Inverse variance weighted",16,-0.0704786869284592,0.0734565167136437,0.337326393565556,-0.214453459687201,0.0734960858302824,0.931947601980048,0.806982368069785,1.07626432398242
"42","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Inverse variance weighted (fixed effects)",16,-0.0704786869284592,0.0561520484927661,0.209427911043181,-0.180536701974281,0.0395793281173622,0.931947601980048,0.834822040517609,1.04037302644508
"43","C44iX7","d8pIgX","GCST012879","GCST90277252","Inverse variance weighted (multiplicative random effects)",15,-0.0774317651876044,0.0456962377692281,0.0901724295106776,-0.166996391215292,0.0121328608400827,0.925490172890471,0.846202665094916,1.01220676257355
"44","C44iX7","d8pIgX","GCST012879","GCST90277252","Inverse variance weighted",15,-0.0774317651876044,0.0521727735395698,0.137771452602102,-0.179690401325161,0.0248268709499525,0.925490172890471,0.835528849996873,1.02513762405695
"45","C44iX7","d8pIgX","GCST012879","GCST90277252","Inverse variance weighted (fixed effects)",15,-0.0774317651876044,0.0521727735395698,0.137771452602102,-0.179690401325161,0.0248268709499525,0.925490172890471,0.835528849996873,1.02513762405695
"46","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Inverse variance weighted (multiplicative random effects)",18,-0.0217682458335926,0.0391395183969312,0.578094298283159,-0.0984817018915777,0.0549452102243926,0.978466972574099,0.906212274433014,1.05648272863809
"47","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Inverse variance weighted",18,-0.0217682458335926,0.0407247050984563,0.592980517329906,-0.101588667826567,0.0580521761593817,0.978466972574099,0.903401073181176,1.05977028901129
"48","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Inverse variance weighted (fixed effects)",18,-0.0217682458335926,0.0407247050984563,0.592980517329906,-0.101588667826567,0.0580521761593817,0.978466972574099,0.903401073181176,1.05977028901129
