"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted (multiplicative random effects)",19,0.0230828434402237,0.0487196011793232,0.635649906421651,-0.0724075748712498,0.118573261751697,1.02335131397907,0.930151712079281,1.12588935570699
"FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted",19,0.0230828434402237,0.0487196011793232,0.635649906421651,-0.0724075748712498,0.118573261751697,1.02335131397907,0.930151712079281,1.12588935570699
"FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted (fixed effects)",19,0.0230828434402237,0.0441809750622343,0.60134928301399,-0.0635118676817555,0.109677554562203,1.02335131397907,0.938462981854568,1.11591818971181
