"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"1","WECm9u","Tnn3eu","GCST012879","GCST90277247","Inverse variance weighted (multiplicative random effects)",14,0.156152036514781,0.0633434650266832,0.0136950510929781,0.0319988450624821,0.28030522796708,1.16900392086162,1.0325163128126,1.32353373020062
"2","WECm9u","Tnn3eu","GCST012879","GCST90277247","Inverse variance weighted",14,0.156152036514781,0.0633434650266832,0.0136950510929781,0.0319988450624821,0.28030522796708,1.16900392086162,1.0325163128126,1.32353373020062
"3","WECm9u","Tnn3eu","GCST012879","GCST90277247","Inverse variance weighted (fixed effects)",14,0.156152036514781,0.0486826033006859,0.00133869331535603,0.0607341340454369,0.251569938984126,1.16900392086162,1.06261636311479,1.28604284144853
"4","nbQHIF","jvBUeO","GCST012879","GCST90277249","Inverse variance weighted (multiplicative random effects)",20,0.0936890732247092,0.0457201552135574,0.0404439920012582,0.00407756900613655,0.183300577443282,1.09821822737429,1.00408589360149,1.20117540005577
"5","nbQHIF","jvBUeO","GCST012879","GCST90277249","Inverse variance weighted",20,0.0936890732247092,0.0457201552135574,0.0404439920012582,0.00407756900613655,0.183300577443282,1.09821822737429,1.00408589360149,1.20117540005577
"6","nbQHIF","jvBUeO","GCST012879","GCST90277249","Inverse variance weighted (fixed effects)",20,0.0936890732247092,0.0407893260780114,0.0216243768582873,0.0137419941118068,0.173636152337611,1.09821822737429,1.01383684931474,1.1896226456479
"7","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted (multiplicative random effects)",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"8","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"9","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted (fixed effects)",19,0.0971788117356926,0.0245043097279029,7.31549355625039e-05,0.0491503646690029,0.145207258802382,1.1020574168032,1.05037827864854,1.15627919447612
"10","m958aS","0IzSjw","GCST012879","GCST90277266","Inverse variance weighted (multiplicative random effects)",10,-0.151826513141435,0.071029172303387,0.0325554499757114,-0.291043690856074,-0.0126093354267969,0.859137316847022,0.747483019131642,0.987469829156223
"11","m958aS","0IzSjw","GCST012879","GCST90277266","Inverse variance weighted",10,-0.151826513141435,0.071029172303387,0.0325554499757114,-0.291043690856074,-0.0126093354267969,0.859137316847022,0.747483019131642,0.987469829156223
"12","m958aS","0IzSjw","GCST012879","GCST90277266","Inverse variance weighted (fixed effects)",10,-0.151826513141435,0.0702010069398178,0.0305611965312552,-0.289420486743478,-0.0142325395393925,0.859137316847022,0.748697321906402,0.98586826425349
"13","NYdqdr","GSatlJ","GCST012879","GCST90277268","Inverse variance weighted (multiplicative random effects)",12,0.0917800167193593,0.0440452188498187,0.0371812772295681,0.00545138777371469,0.178108645665004,1.09612366667653,1.00546627362527,1.19495514087843
"14","NYdqdr","GSatlJ","GCST012879","GCST90277268","Inverse variance weighted",12,0.0917800167193593,0.0440452188498187,0.0371812772295681,0.00545138777371469,0.178108645665004,1.09612366667653,1.00546627362527,1.19495514087843
"15","NYdqdr","GSatlJ","GCST012879","GCST90277268","Inverse variance weighted (fixed effects)",12,0.0917800167193593,0.029573289717951,0.00191261269624955,0.0338163688721753,0.149743664566543,1.09612366667653,1.03439464223219,1.16153646161162
"16","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted (multiplicative random effects)",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"17","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"18","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted (fixed effects)",19,0.0971788117356926,0.0245043097279029,7.31549355625039e-05,0.0491503646690029,0.145207258802382,1.1020574168032,1.05037827864854,1.15627919447612
"19","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted (multiplicative random effects)",12,0.151392707033653,0.0446111594943586,0.000689788090838444,0.0639548344247097,0.238830579642595,1.16345346473929,1.06604424917236,1.2697633945915
"20","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted",12,0.151392707033653,0.0446111594943586,0.000689788090838444,0.0639548344247097,0.238830579642595,1.16345346473929,1.06604424917236,1.2697633945915
"21","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted (fixed effects)",12,0.151392707033653,0.0387386833227582,9.30440965181608e-05,0.0754648877210465,0.227320526346258,1.16345346473929,1.07838536248562,1.25523213843873
"22","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted (multiplicative random effects)",25,0.122063937690746,0.0323042319052449,0.000157728847654182,0.0587476431564659,0.185380232225026,1.12982633795798,1.06050758062306,1.20367602954199
"23","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted",25,0.122063937690746,0.0323042319052449,0.000157728847654182,0.0587476431564659,0.185380232225026,1.12982633795798,1.06050758062306,1.20367602954199
