"","method","beta","lci95","uci95","or","or_lci95","or_uci95","pval","exposure","outcome"
"1","BWMR",0.145675743189321,0.0120300324874539,0.279321453891188,1.15682102013419,1.01210268437082,1.32223231228384,0.0326445327163493,"GCST90277247","GCST012879"
"2","BWMR",0.0877209048800488,-0.00417046878817323,0.179612278548271,1.09168339599805,0.995838215540016,1.19675326624372,0.0613387258346699,"GCST90277249","GCST012879"
"3","BWMR",0.10081655152591,0.0345411669636529,0.167091936088168,1.10607371561539,1.03514464126081,1.18186291616708,0.00286834648397462,"GCST90277250","GCST012879"
"4","BWMR",-0.157258742559375,-0.313019879120622,-0.00149760599812773,0.854482939109772,0.731235376108152,0.998503514854134,0.0478334680794543,"GCST90277266","GCST012879"
"5","BWMR",0.0511147116344374,-0.0419897633428842,0.144219186611759,1.05244361388614,0.958879596243887,1.15513727140358,0.281906026592168,"GCST90277268","GCST012879"
"6","BWMR",0.10081655152591,0.0345411669636529,0.167091936088168,1.10607371561539,1.03514464126081,1.18186291616708,0.00286834648397462,"GCST90277250","GCST012879"
"7","BWMR",0.130153466507855,0.0267598994673677,0.233547033548341,1.13900316875117,1.02712116081745,1.26307223326282,0.0136144167710064,"GCST90277288","GCST012879"
"8","BWMR",0.120314113959551,0.0523254725390517,0.18830275538005,1.12785106970932,1.05371864319021,1.20719894600446,0.000523456745354117,"GCST90277298","GCST012879"
"9","BWMR",0.102550071087542,0.00860851189469911,0.196491630280385,1.10799277892433,1.00864567168685,1.21712513383946,0.0323864356645647,"GCST90277305","GCST012879"
"10","BWMR",-0.115347762154108,-0.193729850219798,-0.0369656740884187,0.891056214390529,0.823880445328733,0.963709214978609,0.00392218778749207,"GCST90277311","GCST012879"
"11","BWMR",0.183363974575677,0.103772620370378,0.262955328780975,1.20125155354557,1.10934818305694,1.30076861073434,6.31726771163311e-06,"GCST90277330","GCST012879"
"12","BWMR",0.194626720797004,0.0798953101104907,0.309358131483517,1.21485742083188,1.08317366440773,1.36255025527905,0.000884560455555134,"GCST90277336","GCST012879"
