"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"14","KsN3wf","bQtTCU","GCST012879","GCST90277250","Simple mode",19,0.0274196748558877,0.0862850800362409,0.754308770054463,-0.141699082015144,0.19653843172692,1.02779905368431,0.867882378612235,1.21718209838934
"15","KsN3wf","bQtTCU","GCST012879","GCST90277250","Weighted mode",19,0.0790207909415654,0.0283584090538249,0.0121838631046763,0.0234383091960686,0.134603272687062,1.08222682235104,1.02371514498829,1.14408280540718
"16","m958aS","0IzSjw","GCST012879","GCST90277266","MR Egger",10,0.0353435013644753,0.336333829394526,0.918895679872756,-0.623870804248795,0.694557806977746,1.0359755066877,0.535866184829726,2.00282324363847
"17","m958aS","0IzSjw","GCST012879","GCST90277266","Weighted median",10,-0.127941731827617,0.100239904967729,0.20182995753996,-0.324411945564366,0.0685284819091329,0.879904648086671,0.722952364009616,1.07093112667964
"18","m958aS","0IzSjw","GCST012879","GCST90277266","Inverse variance weighted",10,-0.151826513141435,0.071029172303387,0.0325554499757114,-0.291043690856074,-0.0126093354267969,0.859137316847022,0.747483019131642,0.987469829156223
"19","m958aS","0IzSjw","GCST012879","GCST90277266","Simple mode",10,-0.0450591761765453,0.176012578859471,0.803706254422266,-0.390043830741108,0.299925478388018,0.955940911231171,0.677027199243932,1.34975821766982
"20","m958aS","0IzSjw","GCST012879","GCST90277266","Weighted mode",10,-0.101815715310525,0.147001964974677,0.506027964780526,-0.389939566660892,0.186308136039842,0.903195981524159,0.677097792542251,1.20479344346775
"21","NYdqdr","GSatlJ","GCST012879","GCST90277268","MR Egger",12,0.149529403045668,0.0691526766165667,0.0558913019162938,0.0139901568771974,0.285068649214139,1.16128761570281,1.01408847709195,1.32985331837316
"22","NYdqdr","GSatlJ","GCST012879","GCST90277268","Weighted median",12,0.122230649799482,0.03333981902677,0.000246175491836014,0.0568846045070133,0.187576695091951,1.13001470939075,1.05853365333468,1.20632276490857
"23","NYdqdr","GSatlJ","GCST012879","GCST90277268","Inverse variance weighted",12,0.0917800167193593,0.0440452188498187,0.0371812772295681,0.00545138777371469,0.178108645665004,1.09612366667653,1.00546627362527,1.19495514087843
