"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted (multiplicative random effects)",9,0.10423023937615,0.0840915799494711,0.215165995820329,-0.0605892573248136,0.269049736077113,1.10985595804441,0.94120975540419,1.3087202300381
"asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted",9,0.10423023937615,0.0840915799494711,0.215165995820329,-0.0605892573248136,0.269049736077113,1.10985595804441,0.94120975540419,1.3087202300381
"asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted (fixed effects)",9,0.10423023937615,0.075024587071523,0.164747294755955,-0.0428179512840353,0.251278430036335,1.10985595804441,0.958085792479986,1.28566800309003
