"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"KsN3wf","8tm8lu","GCST012879","GCST90277250","MR Egger",19,0.0875125037851679,0.0450111758979875,0.0686053312329991,-0.000709400974887642,0.175734408545224,1.09145591168787,0.999290850590493,1.19212139934481
"KsN3wf","8tm8lu","GCST012879","GCST90277250","Weighted median",19,0.0830058364676906,0.027208260598338,0.00228263976638904,0.0296776456949481,0.136334027240433,1.0865481501329,1.03012241603103,1.14606464647758
"KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"KsN3wf","8tm8lu","GCST012879","GCST90277250","Simple mode",19,0.0274196748558877,0.0862850800362409,0.754308770054463,-0.141699082015144,0.19653843172692,1.02779905368431,0.867882378612235,1.21718209838934
"KsN3wf","8tm8lu","GCST012879","GCST90277250","Weighted mode",19,0.0790207909415654,0.0283584090538249,0.0121838631046763,0.0234383091960686,0.134603272687062,1.08222682235104,1.02371514498829,1.14408280540718
