"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"NM5Ymx","0IzSjw","GCST012879","GCST90277251","MR Egger",16,-0.128348348873344,0.397809130575152,0.751737333591111,-0.908054244800641,0.651357547053954,0.879546936588869,0.40330820010083,1.91814303172973
"NM5Ymx","0IzSjw","GCST012879","GCST90277251","Weighted median",16,-0.069692817775901,0.0810284167578832,0.389732040206276,-0.228508514621352,0.08912287906955,0.932680278708557,0.795719521925209,1.09321498131302
"NM5Ymx","0IzSjw","GCST012879","GCST90277251","Inverse variance weighted",16,-0.0704786869284592,0.0734565167136437,0.337326393565556,-0.214453459687201,0.0734960858302824,0.931947601980048,0.806982368069785,1.07626432398242
"NM5Ymx","0IzSjw","GCST012879","GCST90277251","Simple mode",16,-0.187805640978747,0.14508760903313,0.215090599421477,-0.472177354683681,0.0965660727261873,0.828775771627826,0.623642897120179,1.10138235007419
"NM5Ymx","0IzSjw","GCST012879","GCST90277251","Weighted mode",16,-0.117015305682741,0.124309274014433,0.361452704649737,-0.360661482751029,0.126630871385548,0.889571577558872,0.697214977819312,1.13499798021502
