"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"x2Q8VF","jvBUeO","GCST012879","GCST90277264","MR Egger",14,0.14363213569499,0.142666823153897,0.333917051250506,-0.135994837686648,0.423259109076628,1.15445934601724,0.872847138387526,1.52692988610661
"x2Q8VF","jvBUeO","GCST012879","GCST90277264","Weighted median",14,0.029373297736132,0.0795420270806606,0.711918862966521,-0.126529075341963,0.185275670814227,1.02980894808047,0.881148529476247,1.20355017805791
"x2Q8VF","jvBUeO","GCST012879","GCST90277264","Inverse variance weighted",14,0.0124984188917779,0.0564157213897267,0.824670891085125,-0.0980763950320864,0.123073232815642,1.01257685054578,0.906579642927453,1.13096724183037
"x2Q8VF","jvBUeO","GCST012879","GCST90277264","Simple mode",14,0.0760173734052072,0.134168349884527,0.580648899806791,-0.186952592368465,0.33898733917888,1.07898131957412,0.829483059280533,1.40352557531399
"x2Q8VF","jvBUeO","GCST012879","GCST90277264","Weighted mode",14,0.0446510164492647,0.14048900007045,0.75566467352258,-0.230707423688816,0.320009456587346,1.0456628770822,0.793971729375975,1.37714078732652
