"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted (multiplicative random effects)",22,0.0682564635789883,0.0458417310167748,0.136498133340385,-0.0215933292138904,0.158106256371867,1.07063985340049,0.978638137678806,1.17129064519008
"D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted",22,0.0682564635789883,0.0458417310167748,0.136498133340385,-0.0215933292138904,0.158106256371867,1.07063985340049,0.978638137678806,1.17129064519008
"D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted (fixed effects)",22,0.0682564635789883,0.0399105522590222,0.0872222396335548,-0.00996821884869512,0.146481146006672,1.07063985340049,0.990081299172735,1.15775310234341
