"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"GS2sTv","Br6NAz","GCST012879","GCST90277238","MR Egger",12,0.238693917412285,0.231236292955749,0.326273377074482,-0.214529216780983,0.691917051605553,1.2695898777509,0.80692123574648,1.99754125468817
"GS2sTv","Br6NAz","GCST012879","GCST90277238","Weighted median",12,0.125202284080698,0.0965458147005328,0.194694051977599,-0.0640275127323468,0.314432080893742,1.13337769414508,0.937979192805246,1.36948133544826
"GS2sTv","Br6NAz","GCST012879","GCST90277238","Inverse variance weighted",12,0.0807518929514269,0.0821874500252212,0.325837267112161,-0.0803355090980067,0.24183929500086,1.08410188987666,0.922806684404015,1.27358950416922
"GS2sTv","Br6NAz","GCST012879","GCST90277238","Simple mode",12,0.284316545765677,0.190778271115413,0.164251749569474,-0.0896088656205334,0.658241957151887,1.32885350713433,0.914288725096755,1.93139387477008
"GS2sTv","Br6NAz","GCST012879","GCST90277238","Weighted mode",12,0.253817363642997,0.207875478111155,0.24760909642519,-0.153618573454866,0.66125330074086,1.28893637612544,0.857599069685229,1.93721873125302
