"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted (multiplicative random effects)",12,-0.148397627466273,0.0816767892479707,0.0692341722280352,-0.308484134392296,0.0116888794597494,0.862088256812398,0.734559606341269,1.01175746136598
"Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted",12,-0.148397627466273,0.0816767892479707,0.0692341722280352,-0.308484134392296,0.0116888794597494,0.862088256812398,0.734559606341269,1.01175746136598
"Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted (fixed effects)",12,-0.148397627466273,0.0647492679837984,0.0219125016476809,-0.275306192714518,-0.0214890622180283,0.862088256812398,0.759339583377506,0.978740182657327
